subject,session,n_trials,n_interventions,pct_optimal,pct_drift,mean_cumulative_drift,max_cumulative_drift,mean_error_risk
sub-01,ses-S1,1906,4,91.3,8.7,8.7,88.3,40.6
sub-01,ses-S2,1641,3,92.6,7.4,7.4,88.3,38.2
sub-01,ses-S3,1934,2,90.4,9.6,9.6,58.3,40.2
sub-02,ses-S1,717,1,86.2,13.8,13.8,53.3,32.0
sub-02,ses-S2,1727,11,81.8,18.2,18.2,98.3,48.1
sub-02,ses-S3,1467,8,84.0,16.0,16.0,85.0,44.1
sub-03,ses-S1,1229,2,95.0,5.0,5.0,88.3,35.7
sub-03,ses-S2,1309,1,93.2,6.8,6.8,55.0,40.7
sub-03,ses-S3,1940,2,94.5,5.5,5.5,88.3,38.3
sub-04,ses-S1,1076,4,87.5,12.5,12.5,76.7,41.5
sub-04,ses-S2,1865,0,94.5,5.5,4.5,48.3,39.4
sub-04,ses-S3,957,4,84.6,15.4,15.4,71.7,48.6
sub-05,ses-S1,1257,5,84.2,15.8,15.8,93.3,53.8
sub-05,ses-S2,958,7,80.7,19.3,19.1,98.3,53.2
sub-05,ses-S3,1109,10,72.7,27.3,27.2,100.0,55.4
sub-06,ses-S1,1461,10,79.6,20.4,18.8,100.0,50.6
sub-06,ses-S2,1781,11,77.3,22.7,22.7,100.0,57.4
sub-06,ses-S3,1146,0,97.4,2.6,2.6,20.0,42.1
sub-07,ses-S1,476,3,86.6,13.4,13.4,83.3,37.8
sub-07,ses-S2,1586,0,96.7,3.3,3.3,31.7,42.3
sub-07,ses-S3,1165,0,93.6,6.4,6.4,43.3,36.7
sub-08,ses-S1,831,8,72.8,27.2,25.5,100.0,46.1
sub-08,ses-S2,675,6,76.7,23.3,23.3,73.3,45.0
sub-08,ses-S3,399,0,98.5,1.5,1.5,10.0,29.3
sub-09,ses-S1,1523,3,93.8,6.2,6.2,100.0,45.2
sub-09,ses-S2,1423,0,97.8,2.2,2.2,20.0,46.5
sub-09,ses-S3,814,0,94.3,5.7,5.3,40.0,38.4
sub-10,ses-S1,1119,5,82.2,17.8,16.3,100.0,38.1
sub-10,ses-S2,1929,5,91.0,9.0,9.0,96.7,38.9
sub-10,ses-S3,1909,8,86.7,13.3,13.2,100.0,40.9
sub-11,ses-S1,1424,2,89.0,11.0,10.6,75.0,47.4
sub-11,ses-S2,1021,7,77.8,22.2,22.0,100.0,43.6
sub-11,ses-S3,1854,17,74.4,25.6,25.6,100.0,50.9
sub-12,ses-S1,1285,6,81.1,18.9,18.9,71.7,45.5
sub-12,ses-S2,635,0,93.4,6.6,6.6,45.0,42.1
sub-12,ses-S3,1269,4,87.5,12.5,12.5,88.3,38.8
sub-13,ses-S1,502,0,95.4,4.6,4.6,31.7,31.4
sub-13,ses-S2,1692,24,62.6,37.4,37.4,100.0,66.5
sub-13,ses-S3,456,0,93.6,6.4,5.4,25.0,39.9
sub-14,ses-S1,1457,18,64.0,36.0,35.7,100.0,55.7
sub-14,ses-S2,1319,5,85.7,14.3,14.1,100.0,50.2
sub-14,ses-S3,1742,16,74.7,25.3,25.3,100.0,52.6
sub-15,ses-S1,1125,16,63.6,36.4,36.4,100.0,50.5
sub-15,ses-S2,1009,5,83.8,16.2,15.9,100.0,34.7
sub-15,ses-S3,955,0,95.4,4.6,3.6,25.0,38.4
sub-16,ses-S1,1519,11,78.1,21.9,21.9,88.3,53.0
sub-16,ses-S2,1955,7,84.8,15.2,15.2,73.3,42.7
sub-16,ses-S3,1946,12,83.4,16.6,16.3,100.0,46.0
sub-18,ses-S1,1933,0,96.9,3.1,3.1,41.7,43.2
sub-18,ses-S2,1884,0,98.7,1.3,1.3,16.7,35.8
sub-18,ses-S3,1051,0,99.9,0.1,0.1,1.7,34.7
sub-19,ses-S1,1933,0,96.9,3.1,3.1,41.7,43.2
sub-19,ses-S2,1884,0,98.7,1.3,1.3,16.7,35.8
sub-19,ses-S3,1051,0,99.9,0.1,0.1,1.7,34.7
sub-20,ses-S1,1933,0,96.9,3.1,3.1,41.7,43.2
sub-20,ses-S2,1884,0,98.7,1.3,1.3,16.7,35.8
sub-20,ses-S3,1051,0,99.9,0.1,0.1,1.7,34.7
sub-21,ses-S1,1933,0,96.9,3.1,3.1,41.7,43.2
sub-21,ses-S2,1884,0,98.7,1.3,1.3,16.7,35.8
sub-21,ses-S3,1051,0,99.9,0.1,0.1,1.7,34.7
