Session,Task,Trials,Eff_Start,Eff_End,Eff_Arc,Arousal_Pre,Arousal_Post,Arousal_Δ,Control_Pre,Control_Post,Control_Δ,Executive_Pre,Executive_Post,Executive_Δ
1,PEAK,472,84.0,51.1,69.4 → 40.8 → 46.3 → 38.4 → 45.2,-0.178,0.698,0.876,0.190,0.382,0.192,-0.930,-0.100,0.830
2,PASSIVE,567,84.5,27.8,59.6 → 37.2 → 42.5 → 41.7 → 37.5,-0.286,-0.292,-0.006,-0.044,-0.112,-0.068,1.276,-0.314,-1.590
3,RECEPTIVE,471,83.9,38.6,66.4 → 37.9 → 38.8 → 44.6 → 33.4,-0.316,-0.432,-0.116,-0.238,-0.134,0.104,-0.286,-0.158,0.128
4,STANDARD,387,83.8,57.0,83.7 → 85.0 → 86.8 → 85.9 → 60.8,0.808,-0.078,-0.886,0.000,-0.044,-0.044,0.712,-0.168,-0.880
5,RECEPTIVE,352,84.2,45.0,73.5 → 46.5 → 47.6 → 49.8 → 54.5,-0.316,-0.316,0.000,-0.702,-0.292,0.410,0.792,-0.316,-1.108
6,STANDARD,790,81.8,51.9,58.8 → 48.6 → 45.8 → 49.6 → 44.1,-0.690,0.798,1.488,0.202,-1.206,-1.408,-0.220,3.536,3.756
7,RECEPTIVE,337,84.4,82.6,85.1 → 82.8 → 86.7 → 87.3 → 83.4,-0.218,-0.084,0.134,-0.798,-0.650,0.148,-0.374,2.898,3.272
8,RECEPTIVE,380,86.3,44.1,77.5 → 29.0 → 36.7 → 28.6 → 37.0,0.300,-0.410,-0.710,0.056,-0.286,-0.342,-0.236,-0.274,-0.038
9,RECEPTIVE,513,84.0,46.5,66.6 → 47.0 → 43.5 → 48.3 → 46.3,-0.368,-0.182,0.186,-0.766,0.770,1.536,1.648,-0.154,-1.802
10,STANDARD,611,84.0,45.7,65.3 → 43.2 → 48.4 → 46.4 → 42.3,-0.298,0.244,0.542,-0.144,0.256,0.400,-0.230,-0.184,0.046
